FECHA INICIO;FECHA TERMINO;CONCEPTO;LINE;KEY Equipment;UNIDAD;CONSUMO;ID;ID Unico;ID FABRICACION
1/04/2024;7/04/2024;Energía Eléctrica;FMD;G44;[kWh];1591;44;44.3; GRUPO 44
1/04/2024;7/04/2024;Energía Eléctrica;FMD;G46;[kWh];0;46;46.3; GRUPO 46
1/04/2024;7/04/2024;Energía Eléctrica;FMD;G51;[kWh];0;51;51.3; GRUPO 51
1/04/2024;7/04/2024;Energía Eléctrica;FMD;G73;[kWh];0;73;73.3; GRUPO 73
1/04/2024;7/04/2024;Energía Eléctrica;FMD;G80;[kWh];-0,000433741;80;80.3; GRUPO 80
1/04/2024;7/04/2024;Energía Eléctrica;FMD;G82;[kWh];0;82;82.3; GRUPO 82
1/04/2024;7/04/2024;Energía Eléctrica;FMD;G84;[kWh];3114,75;84;84.3; GRUPO 84
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Generador 1;[kWh];71;356;356.3;MCE
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Generador 2;[kWh];80,72460938;357;357.3;MCE
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Generador 3;[kWh];0;358;358.3;MCE
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Generador 4;[kWh];0;359;359.3;MCE
1/04/2024;7/04/2024;Energía Eléctrica;PMD;General PMD;[kWh];14831,50816;251;251.3;TOTAL PMD
1/04/2024;7/04/2024;Energía Eléctrica;PMD;HxD Lamina;[kWh];2329;204;204.3;
1/04/2024;7/04/2024;Energía Eléctrica;PMD;HxD Vena;[kWh];2739;205;205.3;
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Iluminación Acceso;[kWh];903;345;345.3;unitario
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Iluminación BPT;[kWh];2822,547547;346;346.3;unitario
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Iluminacion FMD;[kWh];2851;347;347.3;unitario
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Iluminación Oficinas;[kWh];788,0625;348;348.3;unitario
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Iluminacion PMD;[kWh];3051;349;349.3;unitario
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Iluminacion SMD 1.1;[kWh];2063;350;350.3;unitario
1/04/2024;7/04/2024;Energía Eléctrica;UTILITIES;Iluminacion SMD 2;[kWh];476;351;351.3;unitario
1/04/2024;7/04/2024;;;;;;;315.3;HUMEDAD
1/04/2024;7/04/2024;;;;;;;225.3;MCE
1/04/2024;7/04/2024;;;;;;;254.3;unitario
1/04/2024;7/04/2024;;;;;;;255.3;unitario
25/03/2024;31/03/2024;;;;;;;360.3;
1/04/2024;7/04/2024;;;;;;;294.3;
1/04/2024;7/04/2024;;;;;;;361.3;unitario
1/04/2024;7/04/2024;;;;;;;291.3;IRRADIACION
1/04/2024;7/04/2024;;;;;;;362.3;IRRADIACION
1/04/2024;7/04/2024;;;;;;;256.3;
1/04/2024;7/04/2024;;;;;;;286.3;unitario
1/04/2024;7/04/2024;;;;;;;257.3;MCE
1/04/2024;7/04/2024;;;;;;;208.3;MCE+MVAR
1/04/2024;7/04/2024;;;;;;;363.3;MCE
1/04/2024;7/04/2024;;;;;;;258.3;MCE
1/04/2024;7/04/2024;;;;;;;259.3;unitario
1/04/2024;7/04/2024;;;;;;;260.3;MCE
1/04/2024;7/04/2024;;;;;;;287.4;
1/04/2024;7/04/2024;Energía Refrigeracion;UTILITIES;Chiller 2;[TNh];3469,176354;288;288.4;
1/04/2024;7/04/2024;GAS;UTILITIES;Calderas;[m3];6332,900571;216;216.5;VAPOR TOTAL
1/04/2024;7/04/2024;GAS;UTILITIES;Caldereta Duchas #1;[m3];104,85;282;282.5;TEMPERATURA
1/04/2024;7/04/2024;GAS;UTILITIES;Caldereta Duchas #2;[m3];80,1;283;283.5;TEMPERATURA
1/04/2024;7/04/2024;GAS;UTILITIES;Calefaccion FMD1;[m3];0;261;261.5;
1/04/2024;7/04/2024;GAS;UTILITIES;Calefaccion FMD2;[m3];0;262;262.5;
1/04/2024;7/04/2024;;;;;0;263;263.5;
1/04/2024;7/04/2024;;;;;2,374634661;264;264.5;TEMPERATURA
